common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Lime - Common,Highways,13,5,Mature,Fair,869.7,164.9
Maple - Norway,Parks,14,9,Mature,Fair,496.1,390.6
Sycamore,Highways,10,7,Middle aged,Fair,134.9,215.8
Cherry - Double pint,Housing,5,4,Mature,Fair,215.6,31.6
Cherry,Parks,7,4,Middle aged,Good,54,44.5
Persian Ironwood,Highways,4,1,Juvenile,Good,1.4,3.2
Alder - Red,Highways,10,6,Mature,Fair,264.8,119.3
June berry,Corporate Landlord,5,2,Middle aged,Fair,7.4,11.6
London plane,Housing,20,12,Mature,Good,2010.1,605
London plane,Parks,14,8,Middle aged,Good,396.1,357.1
Tree of Heaven,Parks,22,15,Mature,Fair,1121.3,644.5
Maple - Norway,Parks,8,4,Middle aged,Good,125,56
Pear - Chanticclere,Highways,8,3,Mature,Fair,40.4,26.8
Cherry - Ornamental,Highways,4,3,Middle aged,Good,8.6,3.5
Cherry - Rosebud,Highways,4,1,Juvenile,Good,2.7,3.5
False Acacia - Upright,Parks,7,5,Middle aged,Fair,127.1,60.8
Lime - Common,Education,14,7,Mature,Fair,487.9,220.8
Hawthorn - Common,Highways,6,3,Middle aged,Fair,33.9,33.4
Maple - Field,Highways,9,7,Mature,Good,486.4,163
London plane,Highways,21,8,Mature,Good,1228.8,301.6
Cherry - Double pint,Housing,5,4,Mature,Fair,62.1,35.1
Cherry - Cornelian,Parks,4,9,Mature,Fair,13.6,169.5
London plane,Highways,15,10,Mature,Fair,463.3,929
Ash,Highways,15,8,Mature,Fair,332.4,323
June Berry,Highways,2.5,1.5,Middle aged,Good,0.7,4.5
Maple - Lebanese wild,Highways,3,1,Juvenile,Good,1.4,3.8
Lime - Caucasian,Highways,13,6,Middle aged,Good,131.8,215.2
Cherry,Housing,6,2,Middle aged,Good,14.8,12.6
June berry - Upright,Highways,3,1,Juvenile,Good,1.4,2.6
Lime,Housing,16,10,Mature,Good,369.6,395.9
Ash - Yellow,Highways,12,8,Middle aged,Fair,362,216.5
Maple - Norway,Highways,16,8,Mature,Good,639.2,265
Ash,Housing,19,12,Mature,Good,538.1,489.1
Cherry,Education,6,6,Middle aged,Fair,90.4,81
Lime - Common,Parks,14,8,Mature,Good,650.3,347.7
Birch - Silver,Highways,17,6,Mature,Fair,124.5,201.3
London plane,Highways,17,12,Mature,Good,4183.5,584
Sycamore,Education,15,9,Middle aged,Fair,389.2,371.2
Lime - Caucasian,Highways,12,6,Mature,Good,200.1,190.5
Pear,Highways,6,3,Mature,Good,177.7,17.6
Plum,Housing,7,6,Mature,Good,272,97.2
Birch - Silver,Highways,13,7,Mature,Fair,233.7,161.6
Cotoneaster,Corporate Landlord,5,5,Mature,Good,44.8,9.2
Whitebeam,Housing,8,5,Middle aged,Good,261.2,67.7
Alder - Grey,Highways,10,7,Middle aged,Poor,409.7,157.7
Plum,Corporate Landlord,5,3,Middle aged,Good,14.8,25.2
Lime - Caucasian,Highways,14,5,Mature,Good,95.2,164.9
Plum,Housing,6,5,Mature,Fair,101.3,55
Whitebeam,Housing,14,10,Mature,Good,373.5,334.1
Hawthorn - European,Highways,5,5,Mature,Fair,66.5,55.8
Lime - Common,Parks,15,8,Mature,Fair,187.5,378.8
June Berry,Highways,6,3,Middle aged,Good,5.6,9.2
London plane,Highways,21,14,Mature,Good,1729,809.2
Cherry - Double pint,Education,2,2.5,Middle aged,Fair,6.2,13.3
Ash,Parks,13,8,Middle aged,Fair,193.9,323
Cherry - Sargent's,Housing,4,1,Juvenile,Poor,0.8,3.5
Gum - Cider,Education,17,5,Middle aged,Good,161.3,68
Persian Ironwood,Parks,4,5,Middle aged,Good,64.7,18.3
Whitebeam,Highways,11,11,Mature,Good,436.1,327.1
