common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
London plane,Highways,19,13,Mature,Good,1334.8,465.2
Lime - Common,Highways,23,12,Mature,Good,426.4,575.4
False Acacia,Highways,11,11,Mature,Fair,539.7,327.1
Pear - Chanticclere,Housing,7,3,Juvenile,Good,13.2,26.8
London plane,Highways,18,15,Mature,Fair,745.6,888
False Acacia,Housing,19,7,Mature,Fair,683.7,170.7
London plane,Parks,20,12,Mature,Fair,1011.2,605
Ash - Narrow-leafed,Parks,6,3,Middle aged,Good,18.9,27.3
Sycamore,Housing,15,9,Mature,Good,526.9,371.2
Cherry,Highways,3,3,Juvenile,Good,1.6,5.7
Hornbeam - Hop,Highways,4,2,Juvenile,Good,1.2,9.9
London plane,Parks,22,14,Mature,Good,4460.3,823.5
London plane,Highways,9,5,Mature,Good,1040,98.6
Ash,Housing,18,10,Over Mature,Fair,1221.8,350.6
Serviceberry - Canadian,Education,5,3,Middle aged,Fair,28,16.4
Sycamore,Housing,14,8,Mature,Fair,1185.9,309.6
London plane,Housing,17,11,Mature,Fair,1247.9,490.8
Maple - Norway,Housing,10,7,Middle aged,Fair,189.9,182.3
Maidenhair tree,Highways,15,7,Mature,Good,396.1,206
Pear - Chanticclere,Highways,10,4,Mature,Good,117.7,43.1
London plane,Parks,20,20,Mature,Fair,4294.3,1534.9
Whitebeam,Highways,12,7,Middle aged,Good,157.9,190.4
Maple - Norway,Housing,17,9,Mature,Fair,410.5,416.8
Lime - Common,Highways,1,6,Mature,Fair,406.9,244
June Berry,Highways,3,1,Juvenile,Good,2.4,2.6
Rowan,Highways,10,7,Mature,Good,318.2,132.7
Hornbeam - European,Parks,4,3,Juvenile,Fair,1.4,9.9
Willow - White,Parks,25,12,Mature,Fair,1540.5,479
Ash,Parks,15,10,Mature,Fair,784.8,343.3
Beech - Common,Parks,2,2,Juvenile,Good,4,10.8
London plane,Housing,15,6,Mature,Good,398.4,285.4
London plane,Highways,8,5,Middle aged,Good,29.5,119.5
Maple - Japanese,Parks,3,2,Juvenile,Poor,3.2,37.2
Whitebeam,Housing,8,6,Mature,Good,210.7,97.2
Birch - Silver,Housing,4,1,Juvenile,Good,2.7,3.3
Beech - Fastigiate,Highways,3,2,Juvenile,Good,4,12.5
Cherry - Rosebud,Education,3,5,Mature,Fair,90.4,52.4
Hazel - Turkish,Housing,0.5,5,Mature,Fair,263.7,46.1
Maple - Field,Housing,8,4,Middle aged,Good,21.2,71.5
London plane,Housing,17,7,Mature,Fair,502.6,230.9
Yew - common,Parks,15,11,Mature,Good,739.2,592.3
Lime - Common,Parks,25,10,Mature,Fair,869.7,450.6
Maple - Norway,Housing,10,11,Middle aged,Fair,324.1,401.6
Cherry - Japanese,Parks,15,6,Mature,Good,579.1,216.4
Holly,Parks,10,6,Mature,Good,90,88.5
Cherry - Ornamental,Highways,9,2,Middle aged,Good,4.3,12.6
London plane,Highways,20,18,Mature,Good,3846.4,1243.2
Maple - Field,Highways,15,10,Mature,Good,348.3,336.9
Maple - Field,Parks,11,10,Middle aged,Good,262.2,307.6
London plane,Highways,20,14,Mature,Fair,1834.3,794.9
Sweet Gum,Highways,7,3,Middle aged,Good,17.8,29.6
Cherry - Double pint,Education,6,12,Mature,Fair,272,234.3
Alder - Italian,Highways,25,12,Middle aged,Good,805,282.2
"Cherry - Wild, Gean",Housing,9,5,Mature,Good,252.3,76
London plane,Highways,15,7,Mature,Fair,1334.8,340.3
Oak - Pin,Education,5,3,Juvenile,Fair,12.8,18.6
London plane,Highways,9,7,Middle aged,Fair,106.8,187
Apple,Parks,1,1,Juvenile,Good,0.7,2
Cherry - Double pint,Housing,4,1,Juvenile,Good,2.7,3.5
Maple - Norway,Housing,4,3,Juvenile,Good,3.4,27.5
Whitebeam,Housing,10,9,Mature,Fair,364.5,242.2
False Acacia,Housing,14,6,Mature,Fair,290.7,190.5
Horse chestnut - Red,Highways,7,4,Middle aged,Good,13.2,69.1
Maple - Norway,Highways,10,4,Middle aged,Fair,98.6,151.2
"Cherry - Wild, Gean",Highways,13,10,Mature,Fair,434.6,320.1
Cherry - Rosebud,Highways,7,4,Middle aged,Fair,70.8,44.5
Yew - common,Parks,12,6,Mature,Fair,64.4,236.1
London plane,Parks,26,18,Mature,Good,4000.6,1337.7
Birch - Silver,Highways,14,4,Middle aged,Fair,79.5,63.4
"Oak - Common, Pedunculate",Housing,15,18,Mature,Fair,3139.3,762.3
False Acacia,Highways,3,1,Juvenile,Good,1.4,3.5
London plane,Parks,31,20,Mature,Good,5917.7,1680.7
Maple - Norway,Housing,20,13,Mature,Good,936.1,656.8
False Acacia,Housing,15,7,Mature,Fair,580,258.6
Ash,Highways,13,9,Mature,Good,157.9,278.3
Lime - Common,Highways,21,12,Mature,Good,426.4,570.1
Lime - Common,Highways,11,6,Mature,Good,728.3,169.3
Cypress - Lawson,Housing,3,1,Middle aged,Good,3.8,5.6
Maple - Norway,Housing,16,13,Mature,Good,755.7,638.3
Birch - Silver,Education,8,3,Juvenile,Good,22.7,23.6
Maple - Norway,Highways,9,5,Middle aged,Fair,357.2,96.1
Horse Chestnut,Corporate Landlord,18,18,Veteran,Fair,4995.7,1141
Sycamore,Parks,12,5,Middle aged,Fair,98.6,35.8
Holly,Parks,12,6,Middle aged,Good,276.3,149.5
Willow - Weeping,Housing,6,6,Middle aged,Good,207.5,79.6
London plane,Highways,14,10,Mature,Good,1468.2,415.8
Birch - Silver,Highways,15,4,Middle aged,Fair,151.6,63.4
Alder - Italian,Parks,12,4,Middle aged,Good,30.9,68
Lime - Common,Housing,16,10,Mature,Good,301,395.9
Apple,Highways,4,2,Juvenile,Dead,3.7,12.6
Lime - Small-leaved,Highways,7,6,Middle aged,Good,41.6,122.3
London plane,Highways,14,6,Middle aged,Fair,310.2,250.7
Paper birch,Education,8,3,Middle aged,Good,7.6,23.6
London plane,Highways,11,12,Mature,Good,931.9,453.2
Maple - Field,Education,4,4,Middle aged,Fair,15,13.1
Whitebeam,Highways,6,5,Mature,Good,294.3,55
London plane,Housing,22,18,Mature,Good,4249.9,1302.3
London plane,Highways,16,9,Mature,Fair,1293.7,340.3
Hornbeam,Highways,8,6,Middle aged,Fair,53.4,107.4
Maple - Field,Highways,16,12,Mature,Fair,508.6,498.8
Apple - Crab,Highways,3,1,Juvenile,Good,1.4,3.8
Poplar - Silver,Housing,17,14,Mature,Fair,715,481.4
Pear - Chanticclere,Highways,6,4,Middle aged,Fair,28.7,24.8
Birch - Silver,Highways,17,3,Mature,Good,70.1,29.6
Maple - Norway,Highways,5,6,Middle aged,Good,43.7,101.2
Maidenhair tree,Highways,3,1,Juvenile,Good,1.4,3.2
Persian Ironwood,Highways,7,3,Juvenile,Good,16.5,31.7
Holly,Housing,7,4,Mature,Good,117.8,39.3
Holly,Parks,12,5,Middle aged,Good,207,111.9
Cherry - Sargent's,Highways,5,4,Middle aged,Good,14.8,41.8
Maple - Norway,Housing,16,12,Mature,Good,585,549.1
Lime - Common,Housing,7,4,Mature,Good,301,49.3
London plane,Highways,12,7,Mature,Fair,862,248.7
Birch - Silver,Highways,8,4,Mature,Fair,89.7,91.2
Hawthorn,Housing,4,3,Juvenile,Dead,19.4,22.3
Ash,Housing,15,10,Middle aged,Good,407.5,379.1
Yew - common,Corporate Landlord,11,12,Middle aged,Good,715.6,579.4
Lime - Common,Highways,11,6,Mature,Fair,175.5,169.3
Hornbeam,Housing,6,4,Juvenile,Good,3.9,29.3
Hornbeam,Education,5,3,Juvenile,Good,15.7,21.9
Lime - Caucasian,Highways,8,2,Middle aged,Good,17,15.9
London plane,Housing,16,10,Mature,Good,583,412.9
Cherry - Double pint,Parks,3,2,Middle aged,Good,8.6,9.9
London plane,Highways,20,9,Mature,Good,878.7,278.2
Birch - Silver,Highways,13,3,Middle aged,Good,61.4,29.6
"Rowan, Mountain Ash",Highways,4,1,Juvenile,Fair,2.4,3.5
Lime - Common,Highways,16,4,Mature,Fair,509.5,72.1
Maple - Field,Highways,5,4,Middle aged,Good,19.2,47
Apple - Crab,Highways,8,3,Middle aged,Poor,68.6,34.4
London plane,Highways,10,10,Mature,Good,927.3,366
London plane,Parks,20,12,Mature,Good,1253.3,584
Cherry - Double white,Parks,5,3,Juvenile,Good,1.6,9.9
Elm - Lobel's,Highways,8,2,Middle aged,Good,17.2,14.4
London plane,Highways,20,8,Mature,Good,282.1,301.6
Lime - Common,Parks,18,6,Mature,Fair,87.1,162.2
London plane,Highways,16,8,Mature,Good,954.2,278.2
"Cherry - Wild, Gean",Housing,11,4,Mature,Fair,548.3,68
Sycamore,Housing,15,7,Middle aged,Good,127.5,85.9
Sycamore,Housing,17,10,Mature,Fair,826.9,361
Oak - Red,Housing,13,9,Mature,Fair,407.3,186.2
Maple - Field,Highways,6,3,Juvenile,Good,4.7,4
Lime - Caucasian,Highways,14,4,Mature,Good,240.4,86.7
Cherry,Parks,7,1.5,Juvenile,Good,6.2,7.3
Hawthorn,Highways,2,2,Juvenile,Poor,1.4,8.8
Hazel - Witch,Highways,2,1,Juvenile,Good,1.4,3.2
Horse Chestnut,Parks,22,13,Mature,Good,2978.6,687.6
Whitebeam,Highways,9,7,Mature,Fair,228.5,144.4
London plane,Highways,22,15,Mature,Good,571.7,929
Maple - Field,Housing,6,3,Middle aged,Good,28.6,33.1
Birch - Silver,Highways,11,9,Middle aged,Fair,181.9,239.7
Cotoneaster,Housing,7,7,Mature,Fair,228.8,122.4
Lime - Large-leaved,Highways,10,5,Mature,Good,577.4,109
Birch - Silver,Highways,12,4,Mature,Fair,89.7,63.4
Cherry - Double pint,Housing,6,6,Middle aged,Fair,90.4,81
Magnolia,Housing,4,2,Juvenile,Good,1.4,8.6
Birch - Himalayan,Corporate Landlord,7,5,Middle aged,Good,46,91
Maidenhair tree,Parks,16,9,Mature,Good,838.3,290.1
Lime - Caucasian,Highways,11,4,Middle aged,Good,52.6,74.4
"Oak - Evergreen, Holm",Housing,5,3,Middle aged,Good,63,16.5
Whitebeam - Swedish,Housing,12,10,Mature,Good,1461.9,306.9
Hazel - Turkish,Housing,4,1.5,Juvenile,Good,1.4,6.1
Ash,Housing,14,5,Middle aged,Fair,49.3,140.5
Horse chestnut - Red,Highways,8,6,Middle aged,Good,166.4,122.3
London plane,Highways,12,8,Mature,Good,1182,302.7
Pear,Housing,5,4,Mature,Poor,318.2,82.8
Alder - Common,Parks,17,10,Mature,Good,846.2,312
London plane,Highways,4,1,Juvenile,Fair,2.4,4.7
Lime - Common,Highways,8,4,Middle aged,Fair,163.9,56
"Oak - Common, Pedunculate",Housing,15,9,Mature,Fair,2275,290.1
Sycamore,Housing,23,15,Mature,Good,3364,803.9
London plane,Highways,17,10,Mature,Fair,2637.8,420.2
"Cherry - Wild, Gean",Housing,3,3,Juvenile,Fair,14.8,19.4
London plane,Housing,14,8,Middle aged,Good,521.2,357.1
Lime - Common,Housing,15,6,Mature,Good,187.5,277.7
London plane,Highways,18,15,Mature,Fair,1750.5,863.4
Pear - Chanticclere,Parks,6,3,Middle aged,Good,45.6,20
Apple - Crab,Highways,4,2,Juvenile,Good,3.7,12.6
London plane,Highways,10,5,Mature,Good,653.1,111.9
London plane,Highways,18,8,Mature,Fair,382.2,294.6
Horse Chestnut,Highways,6,4,Juvenile,Fair,16.2,60
Cherry - Rosebud,Highways,3,1,Juvenile,Fair,1.6,3.5
Ash - Yellow,Highways,5,2,Juvenile,Good,9.7,13.7
London plane,Highways,22,15,Mature,Fair,1422.5,929
Plum - Purple,Parks,10,6,Middle aged,Fair,101.3,119.3
Maple - Boxelder,Highways,14,12,Middle aged,Fair,405.2,407.4
Maple - Norway,Highways,15,7,Mature,Fair,478.4,331.2
Rowan - Scarlet,Highways,8,8,Middle aged,Good,130.3,199.5
Ash,Education,7,5,Middle aged,Good,25.6,27.3
Wier maple,Housing,17,11,Mature,Good,672.5,371.6
Lime - Common,Housing,15,10,Mature,Good,285.1,442.7
Birch - Silver,Housing,17,7,Mature,Good,337.8,161.4
Holly,Parks,12,6,Mature,Fair,107,149.5
Ash,Highways,9,6,Middle aged,Fair,84.9,116.5
Sycamore,Corporate Landlord,11,4,Middle aged,Fair,106.4,57.4
London plane,Highways,20,10,Mature,Good,2958.8,442
"Birch - Downy, Hairy",Housing,8,7,Middle aged,Fair,215.6,124.3
Cypress - Lawson,Parks,17,10,Mature,Good,896.2,504.1
Sycamore,Highways,15,10,Middle aged,Fair,618.9,504
London plane,Housing,20,13,Mature,Good,2070.7,697.8
London plane,Housing,20,12,Middle aged,Good,719.4,605
Cherry - Rosebud,Highways,3,2,Juvenile,Good,2.7,9.9
Hawthorn - Common,Housing,6,5,Middle aged,Fair,334.2,62.3
Whitebeam,Housing,15,6,Mature,Fair,874.5,216.4
Hornbeam,Housing,6,4,Juvenile,Fair,19.9,47.5
Lime - Common,Housing,13,9,Middle aged,Good,163.9,366.7
Ash - Narrow-leafed,Highways,17,9,Mature,Fair,481,249.1
Maple - Norway,Highways,10,6,Mature,Fair,456.5,122.3
Maidenhair tree,Highways,6,2.5,Juvenile,Good,7.7,18.2
London plane,Highways,17,13,Mature,Good,1480.6,465.2
Lime - Common,Highways,15,3,Mature,Good,301,40.2
Ash,Housing,11,8,Mature,Fair,80.3,233.5
"Oak - Common, Pedunculate",Parks,11,5,Middle aged,Good,44,99.1
Ash,Housing,11,10,Mature,Good,314.1,319.5
False Acacia,Housing,10,4,Mature,Fair,458.1,58.5
False Acacia,Housing,12,9,Mature,Good,791.1,271.9
Lime - Small-leaved,Housing,15,5,Mature,Fair,122,164.9
Hawthorn - Common,Parks,5,4,Middle aged,Fair,19.7,47.5
Sweet Gum,Housing,9,3,Middle aged,Good,15.7,29.6
Maple - Norway,Housing,12,6,Middle aged,Fair,249.8,135.6
Cherry - Bird,Highways,6,5,Middle aged,Fair,215.6,55
Apple - Crab,Highways,4,2,Juvenile,Good,3.7,12.6
"Oak - Evergreen, Holm",Parks,10,10,Mature,Good,529.4,224.3
June Berry,Highways,7,3,Middle aged,Good,20.2,23.1
Sycamore,Housing,14,8,Middle aged,Fair,127.9,309.6
Ash,Housing,18,14,Mature,Fair,1185.1,489.1
London plane,Highways,24,18,Mature,Good,4934.2,1314.1
Rowan - Hubei,Highways,6,5,Middle aged,Fair,93.9,55
"Rowan, Mountain Ash",Housing,5,2,Middle aged,Fair,5.5,12.6
Maidenhair tree,Highways,3,1,Juvenile,Good,1.4,3.2
Apple,Housing,4,5,Mature,Fair,23.5,62.4
Apple,Highways,8,3,Middle aged,Fair,40.4,34.4
Maidenhair tree,Parks,17,6,Middle aged,Good,175.3,190.9
London plane,Highways,18,11,Mature,Fair,1980,490.8
Cherry,Housing,6,6,Over Mature,Poor,461.6,81
Lime - Small-leaved,Highways,6,4,Middle aged,Good,17,60
Holly,Highways,2.5,1,Juvenile,Good,5.3,3.2
Whitebeam,Highways,10,8,Mature,Fair,264.8,199.5
Maple - Norway,Highways,8,5,Mature,Fair,526.9,167
Whitebeam,Highways,7,4,Mature,Fair,402.1,39.3
Sycamore,Housing,20,10,Mature,Good,558.7,379.2
Ash,Housing,24,14,Mature,Good,643.4,687.2
Maple - Variegated Norway,Highways,10,4,Middle aged,Good,49.7,77.2
London plane,Housing,20,17,Mature,Good,1709.1,1108.9
Birch - Silver,Highways,5,3,Juvenile,Good,2.7,23.6
Tree of Heaven,Education,13,10,Mature,Good,1187.3,320.1
Maple - Field,Highways,7,4,Middle aged,Good,101.9,44.2
Rowan,Highways,7,4,Middle aged,Fair,85.3,39.3
Maple - Norway,Housing,16,7,Mature,Good,460.9,215.4
Willow - Goat,Housing,6,6,Middle aged,Fair,67.2,87
Sweet Gum,Highways,3,1,Juvenile,Good,1,3.3
Sycamore,Housing,13,11,Mature,Fair,729.9,387.5
"Cherry - Wild, Gean",Education,10,7,Mature,Fair,152.1,157.7
Lime - Common,Highways,16,7,Mature,Fair,899.7,215.4
Rowan - Fastigiate,Highways,5,1,Middle aged,Fair,7.5,3.5
Lime - Common,Highways,11,6,Middle aged,Good,95.2,169.3
Birch - Silver,Housing,10,5,Middle aged,Good,151.6,80.3
Apple,Parks,5,2,Juvenile,Fair,9.9,13.7
Sycamore,Parks,17,7,Middle aged,Fair,264.4,198.3
Maple - Red,Highways,8,5,Middle aged,Good,44.9,74.7
Oak - Scarlet,Housing,16,7,Mature,Good,200.2,136.9
Maple - Norway,Housing,6,5,Middle aged,Good,206.9,68.6
London plane,Highways,27,15,Mature,Good,3242.7,961.8
Maple - Lebanese wild,Highways,6,1,Middle aged,Fair,10.3,4.7
Lime - Common,Parks,18,13,Mature,Fair,1126.4,656.8
Laurel - Cherry,Housing,5,3,Mature,Good,62.7,20.6
Sycamore,Housing,20,11,Mature,Good,1063.5,445.6
Rowan - Fastigiate,Highways,5,4,Middle aged,Good,13,47.5
Wier maple,Housing,15,14,Middle aged,Good,513.1,354.1
Cherry - Tibetan,Housing,3,1,Juvenile,Good,6.2,3.5
Lilac,Housing,4,6,Over Mature,Good,12.5,84.6
Maple - Field,Parks,14,4,Mature,Good,116.8,77.2
Ash - Narrow-leafed,Housing,16,8,Mature,Fair,373.7,196.8
Maple - Norway,Highways,11,5,Middle aged,Fair,100.5,124.4
Beech - Common,Parks,20,15,Middle aged,Good,600.3,858
False Acacia,Housing,13,11,Mature,Fair,441.2,343.5
Rowan,Highways,6,4,Middle aged,Fair,138,20.6
Elder,Parks,5,3,Mature,Fair,51.7,20.6
Lime - Caucasian,Highways,11,1.5,Juvenile,Good,20.2,9.2
London plane,Highways,14,10,Mature,Fair,1329.1,434.6
London plane,Parks,27,19,Mature,Good,4667.8,1490.5
Lime - Common,Parks,21,10,Mature,Good,650.3,432.4
Maple - Norway,Housing,18,14,Mature,Good,572.1,747.4
Whitebeam,Highways,14,6,Mature,Fair,349.5,168.4
Lime - Common,Housing,16,11,Mature,Fair,317.4,470.2
Pear,Housing,8,2,Middle aged,Good,46.6,10.7
Fig,Housing,5,4,Juvenile,Fair,3.8,41.8
Horse Chestnut,Parks,9,4,Middle aged,Good,20.8,86.7
London plane,Highways,15,9,Mature,Good,2032.2,428
False Acacia,Parks,14,8,Mature,Good,147,272.7
Horse Chestnut,Highways,7,6,Mature,Poor,241.9,110.9
False Acacia,Highways,18,9,Mature,Fair,615.5,213.7
Cherry,Highways,5,1,Middle aged,Good,23.1,3.5
London plane,Highways,9,4,Middle aged,Good,13.2,16.3
Ash,Highways,14,7,Middle aged,Fair,98.9,207.1
London plane,Highways,22,14,Mature,Good,390.7,823.5
"Cherry - Wild, Gean",Housing,10,7,Middle aged,Good,152.1,157.7
Apple,Education,8,5,Middle aged,Fair,12.3,10.7
Apple - Crab,Highways,3,1,Juvenile,Good,2.4,3.8
Maple - Field,Highways,8,4,Middle aged,Good,25.5,71.5
Sycamore,Highways,17,7,Mature,Good,277.9,194.7
Birch - Silver,Housing,8,4,Mature,Good,79.5,47.5
London plane,Highways,15,10,Mature,Good,949.8,454.5
False Acacia - Upright,Highways,20,9,Mature,Fair,560.3,267.5
London plane,Housing,20,13,Mature,Good,1777.9,697.8
June berry - Upright,Highways,3,1.5,Juvenile,Good,1.4,4.2
Rowan,Highways,6,5,Middle aged,Fair,138,55
Spruce - Norway,Housing,11,5,Middle aged,Good,55.8,136.3
Plane - Oriental,Education,16,15,Mature,Good,1258.6,888
Maidenhair tree,Parks,22,8,Mature,Good,1972.1,154.6
Maple - Norway,Parks,15,4,Middle aged,Good,106.3,86.7
Lime - Common,Highways,19,12,Mature,Poor,554.2,570.1
Cotoneaster,Parks,4,4,Middle aged,Fair,24.6,37.1
"Cherry - Wild, Gean",Housing,12,8,Mature,Fair,748.6,232.1
Maple - Norway,Highways,15,14,Mature,Fair,604.5,445.2
Plum,Housing,7,3,Mature,Fair,54,27.1
Walnut,Housing,17,14,Mature,Good,1247.9,843.3
Whitebeam,Parks,6,2,Middle aged,Good,39.5,12.6
Maple - Norway,Education,12,8,Middle aged,Good,185.7,294.9
Birch - Cut-leaved,Housing,3,1,Juvenile,Fair,1.5,3.3
Hornbeam - European,Highways,3,1,Juvenile,Good,2.4,9.9
Rowan - Hubei,Highways,7,3,Middle aged,Fair,3.9,12.6
Hawthorn - Paul's Scarlet,Education,5,3,Middle aged,Good,9.9,25.6
Lime - Common,Highways,22,13,Mature,Fair,701.8,596.4
False Acacia,Highways,15,8,Mature,Poor,446.2,296.5
Holly,Parks,5,5,Middle aged,Fair,164.8,44.5
"Rowan, Mountain Ash",Education,4,1,Juvenile,Good,0.7,3.5
Lime - Henry's,Highways,2,1,Juvenile,Good,1.1,4.1
Cherry,Parks,6,5,Middle aged,Poor,125.2,55
Apple,Parks,1,0.5,Juvenile,Fair,2.2,0.8
Hawthorn - Cockspur,Housing,5,5,Mature,Fair,45.1,72.1
London plane,Highways,12,10,Mature,Good,975,398.2
Lime - Common,Parks,21,7,Mature,Fair,226.5,220.8
Maple - Field,Parks,8,5,Middle aged,Fair,41.2,103.8
Maple - Norway,Housing,18,14,Mature,Good,1117.3,747.4
London plane,Housing,15,5,Middle aged,Good,148.1,169.4
Oak - Upright Engish,Housing,5,1,Juvenile,Good,0.7,2.8
Whitebeam,Parks,9,7,Mature,Good,362.2,144.4
London plane,Parks,19,19,Mature,Good,3421.6,1332.6
Horse Chestnut,Parks,21,16,Mature,Fair,3673.6,747.4
London plane,Housing,15,10,Mature,Good,1197.9,454.5
Willow - Crack,Housing,8,5,Mature,Good,404.7,66.6
Maple - Norway,Highways,9,5,Middle aged,Fair,116.7,96.1
London plane,Housing,22,19,Mature,Good,2683.9,1424.7
Maidenhair tree,Parks,7,2,Middle aged,Good,40,11.2
Plum,Housing,5,4,Middle aged,Good,23.1,41.8
Ash,Housing,20,9,Mature,Good,249,298.7
Cherry - Mop Top,Highways,3,1,Juvenile,Fair,2.7,3.5
Maple - Norway,Parks,10,5,Mature,Good,193.2,109
Elder,Highways,6,3,Middle aged,Fair,67.2,23.5
Maple - Field,Highways,6,4,Middle aged,Good,19.2,47
Birch - Silver,Highways,9,2,Middle aged,Good,4.2,3.3
London plane,Parks,23,17,Mature,Good,3222,1172.1
June Berry,Highways,4,2,Juvenile,Good,1.4,8.6
"Cherry - Wild, Gean",Education,9,5,Middle aged,Good,23.1,104.5
Sweet Gum,Highways,3,2,Juvenile,Good,1.4,9.3
Maple - Boxelder,Highways,10,6,Middle aged,Fair,80.3,151
Apple,Parks,6,6,Mature,Dead,192.3,87.5
Lime - Common,Housing,14,6,Mature,Good,369.6,244
Cypress - Lawson,Housing,8,3,Middle aged,Good,63.6,43.1
Cherry,Highways,4,1,Juvenile,Good,2.7,3.5
Hawthorn - Common,Housing,5,2,Middle aged,Fair,16,14.4
Pear - Chanticclere,Housing,13,6,Mature,Good,270.1,141.6
Maple - Silver veriegated Norway,Education,9,7,Mature,Fair,319,182.3
Maple - Boxelder,Highways,14,8,Mature,Fair,310.4,243.2
Maple - Norway,Housing,15,12,Mature,Fair,688.1,458.9
Horse Chestnut,Highways,13,6,Middle aged,Fair,393.8,215.2
Holly,Parks,9,4,Mature,Good,72.4,58.5
"Cherry - Wild, Gean",Parks,15,8,Mature,Good,336.2,214.9
Whitebeam - Swedish,Housing,6,5,Middle aged,Fair,153,67.7
Ash,Highways,13,8,Mature,Good,457.7,273.4
Maple - Field,Highways,7,5,Mature,Fair,519.1,68.3
London plane,Highways,22,16,Mature,Fair,726.2,1038.3
Cherry - Ornamental,Highways,6,3,Middle aged,Fair,112.8,20.6
False Acacia,Parks,20,9,Mature,Fair,794.2,282.2
Elder,Housing,4,2,Mature,Fair,9.8,11.6
Horse Chestnut,Housing,6,2,Juvenile,Good,5.5,15.9
False Acacia,Highways,14,7,Mature,Good,466.1,210.2
London plane,Housing,24,20,Mature,Good,4205.2,1607.8
Lime - Common,Housing,18,6,Mature,Fair,601.2,162.2
London plane,Highways,18,11,Mature,Good,1480.6,468.2
Cherry - Rosebud,Highways,4,2,Juvenile,Good,2.7,9.9
Tree of Heaven,Parks,14,7,Middle aged,Good,134.5,232.8
Hawthorn,Housing,5,1,Middle aged,Good,7.5,4.1
Cherry - Sargent's,Highways,5,2,Juvenile,Good,8.6,12.6
Ash,Highways,9,5,Mature,Fair,374.9,82.5
Hawthorn - Red,Highways,6,3,Middle aged,Good,28.7,12.8
London plane,Highways,21,10,Mature,Good,1492.8,289.9
Ash,Housing,12,9,Mature,Fair,235.7,278.3
Rowan,Highways,8,6,Mature,Fair,359.9,97.2
Plum,Housing,6,3,Mature,Fair,23.1,222.9
Hawthorn - Common,Parks,5,4,Middle aged,Good,28.4,47.5
Lime - Common,Parks,9,5,Mature,Good,509.5,96.1
Maple - Norway,Highways,8,4,Mature,Fair,200.3,56
Hawthorn,Highways,6,3,Mature,Fair,114.7,20.9
Lime - Common,Highways,13,6,Mature,Fair,226.5,215.2
London plane,Housing,22,19,Mature,Good,5441.1,1424.7
Maple - Japanese,Highways,3,2,Juvenile,Good,3.2,11.2
London plane,Parks,29,22,Mature,Good,4681.7,1945.4
Willow - Crack,Housing,18,11,Mature,Fair,297.9,376
Maple - Norway,Housing,15,12,Mature,Good,410.5,458.9
London plane,Parks,18,10,Mature,Good,2508,427.5
Maple - Norway,Highways,19,15,Mature,Fair,502.1,858
Birch - Silver,Highways,7,3,Middle aged,Good,2.7,11.8
Elder,Parks,5,4,Mature,Fair,113.7,31.6
Pear - Chanticclere,Highways,8,3,Middle aged,Good,52.9,23
Lime - Common,Housing,15,10,Mature,Good,675.8,718.8
Oak - Turkey,Parks,6,4,Middle aged,Fair,13,9.9
Rowan - Yellow berried,Highways,4,2,Middle aged,Fair,146.4,57
London plane,Highways,17,11,Mature,Good,2364.7,499.6
Holly,Parks,11,4,Mature,Fair,188.2,68
Hawthorn - Broad-leaved cockspur thorn,Housing,5,1,Juvenile,Fair,2.5,3.6
"Oak - Evergreen, Holm",Parks,9,8,Mature,Good,389.3,147
Hawthorn - European,Housing,6,3,Mature,Fair,52.3,23.8
Lime - Common,Parks,3,1,Middle aged,Good,1.8,4.5
Hawthorn - Cockspur,Housing,4,2,Juvenile,Good,2.4,4.7
Whitebeam - Swedish,Housing,6,3,Juvenile,Good,13,29.3
London plane,Housing,14,11,Middle aged,Good,494.6,434.6
Ash - Weeping,Parks,4,5,Middle aged,Good,43.3,47.9
London plane,Housing,20,17,Mature,Good,745.6,1108.9
London plane,Housing,18,7,Mature,Good,745.6,230.9
Maple - Norway,Highways,8,7,Mature,Fair,245.6,167
"Cherry - Wild, Gean",Education,10.8,8,Middle aged,Good,579.1,211.7
Hawthorn - Common,Housing,8,6,Over Mature,Fair,452.6,197.1
Elder,Education,4,3,Middle aged,Good,12.5,21.9
"Cherry - Wild, Gean",Housing,16,5,Mature,Good,313.9,87.1
Birch - Silver,Housing,10,4,Middle aged,Good,70.1,63.4
Lime - Common,Highways,15,6,Mature,Fair,554.2,277.7
"Rowan, Mountain Ash",Housing,9,3,Middle aged,Fair,61.3,31.7
London plane,Education,17,10,Mature,Good,612.4,412.9
Lime - Common,Highways,10,4,Middle aged,Good,20.2,80.2
London plane,Parks,11,1,Middle aged,Good,70.6,4.7
Privet - Chinese,Housing,6,3,Juvenile,Good,14,29.3
Maple - Norway,Housing,18,19,Mature,Fair,1626.1,1271.3
Rowan,Housing,14,6,Mature,Good,134.5,190.5
Rowan - Cut leaved,Highways,6,2,Juvenile,Good,1.4,11.6
Maple - Boxelder,Parks,11,11,Mature,Fair,627.9,368.6
Cherry - Ornamental,Highways,6,4,Middle aged,Good,18.7,47.5
Maple - Norway,Highways,15,11,Mature,Good,476.7,324.4
Sycamore,Housing,19,12,Mature,Fair,209.5,146.6
Lime - Caucasian,Housing,14,6,Mature,Good,142.1,244
